"rid", "binaryID"
25856,1000100000010001001001001101
24013,1000100000010001001001001110
23851,1000100000010001001100000000
24323,1000100000010001001100000001
24048,1000100000010001001100000010
23905,1000110000000000000000000000
24300,1000110000000000000000000001
24091,1000110000000000000000000010
24311,1000110000000000000000000011
23178,1000110100000000000000000000
23930,1000110100000000000000000001
24179,1000110100000000000000000010
23943,1000110100000000000001001000
24174,1000110100000000000001001001
23952,1000110100000000000001001010
24247,1000110100000000000001001011
24410,10001000000011111110111100000
24459,10001000000011111110111110000
24460,10001000000011111110111110001
23158,10001000000011111110111110010
24617,10001000000011111110111110011
24419,10001000000011111110111110100
23186,10001000000100010010010010100
23155,10001000000100010010010010110
23212,10001000000100010010010011000
25925,10001000000100010010010011001
25840,10001000000100010010010011010
25852,10001000000100010010010011011
24010,10001000000100010010010011100
24011,10001000000100010010010011101
23852,10001000000100010011000000000
24613,10001000000100010011000000001
24053,10001000000100010011000000010
23906,10001100000000000000000000000
24306,10001100000000000000000000001
24198,10001101000000000000000000000
24201,10001101000000000000000000001
23931,10001101000000000000000000010
24301,10001101000000000000000000011
23944,10001101000000000000010010000
24191,10001101000000000000010010001
23953,10001101000000000000010010100
24248,10001101000000000000010010110
24606,10001101000000000000010010111
24458,100010000000111111101111100000
24485,100010000000111111101111100001
24461,100010000000111111101111100010
24476,100010000000111111101111100100
24620,100010000000111111101111100101
23289,100010000000111111101111100110
24616,100010000000111111101111100111
23213,100010000001000100100100110000
25517,100010000001000100100100110001
25200,100010000001000100100100110010
25839,100010000001000100100100110100
25853,100010000001000100100100110101
25453,100010000001000100100100110110
24007,100010000001000100100100111010
24008,100010000001000100100100111011
23853,100010000001000100110000000000
24074,100010000001000100110000000010
23907,100011000000000000000000000000
